"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2016","370210034","1","4.7","ug/m3 LC","20","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"01/04/2016","370210034","1","3.7","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"01/07/2016","370210034","1","8.8","ug/m3 LC","37","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"01/13/2016","370210034","1","3.7","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"01/16/2016","370210034","1","7.7","ug/m3 LC","32","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"01/19/2016","370210034","1","5.7","ug/m3 LC","24","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"01/22/2016","370210034","1","5.7","ug/m3 LC","24","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"01/25/2016","370210034","1","16","ug/m3 LC","59","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"01/28/2016","370210034","1","7.3","ug/m3 LC","30","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"01/31/2016","370210034","1","10.2","ug/m3 LC","43","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"02/03/2016","370210034","1","3.3","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"02/06/2016","370210034","1","9.1","ug/m3 LC","38","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"02/09/2016","370210034","1","2.9","ug/m3 LC","12","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"02/12/2016","370210034","1","8.3","ug/m3 LC","35","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"02/15/2016","370210034","1","6","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"02/18/2016","370210034","1","4.6","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"02/21/2016","370210034","1","18.1","ug/m3 LC","64","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"02/24/2016","370210034","1","2.1","ug/m3 LC","9","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
"02/27/2016","370210034","1","6.7","ug/m3 LC","28","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6075000008935","-82.583333"
