"","�..id","booked","host_since","host_about","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_verifications","price","host_since_frm","days_since","email","social","phone","reviews"
"1",665257,0,"10-06-2012","I like to enjoy the day as much as possible, usually through some sort of exercise like biking or disc golf.  I enjoy music, art, and having a good time.  

My travels so far have taken me to Chile, Argentina, Bolivia, Peru, Mexico, China, Thailand, Laos and all over the U.S.  I can speak English and Spanish. 

My company is called Dog Tag Art.  We make really neat, custom ID tags for pets.

You should come visit Asheville, I think you'll like it!","within a few hours","100%","N/A","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 105.00",2012-06-10,1720,1,1,1,1
"2",2746729,61,"01-12-2012","We LOVE alternative dwellings and micro housing. We ourselves live in a  270 sq ft vintage camper with our three dogs. We have really been enjoying the opportunity to share our land with guests and have met so many amazing people through hosting on AIRBNB.   Together, Josh and I own two pieces of land in Asheville. One has just the yurt alone on it. Our other property is home to Bettie and also has several private campsites. It's nice to be able to offer people a range of options- from camping on the cheap to enjoying a luxurious stay in our yurt or restored vintage trailer! Joanna owns an environmentally conscious cleaning company in Asheville, Clean Green Asheville. Josh makes tactical gear like tourniquet holders and works out of his airstream shop. We are both very friendly and active people and we do all of the work on both properties ourselves :-)","within an hour","100%","84%","t",5,5,"['email', 'phone', 'reviews', 'jumio', 'kba']","$ 125.00",2012-12-01,1546,1,1,1,1
"3",6919450,0,"19-06-2015","single mother of 2. I work a full time job at the hospital and just need to have some spending money.  Not out to get rich.  I like meeting new people and I have a room for rent.  Short term only, pets available for additional $20 per day.  Pet must get along with mine. I have a rescue that is 1 year old about 45 lbs and loves to play. I have a fenced yard for them and a wonderful neighborhood to walk in.  If you bring your dog we need to meet somewhere prior to you renting to see if they will get along.","N/A","N/A","N/A","f",1,1,"['phone', 'facebook']","$ 45.00",2015-06-19,616,1,1,1,1
"4",12286328,0,"26-06-2011","We operate two traveler's hostels located in Historic West Asheville, and in Wilmington, NC. Both locations offer wifi and Internet access, full kitchen and bathroom, book exchange and common areas, and bikes to borrow.","within a few hours","100%","68%","f",6,6,"['email', 'phone', 'facebook', 'reviews']","$ 24.00",2011-06-26,2070,1,1,1,1
"5",156926,0,"26-06-2011","We operate two traveler's hostels located in Historic West Asheville, and in Wilmington, NC. Both locations offer wifi and Internet access, full kitchen and bathroom, book exchange and common areas, and bikes to borrow.","within a few hours","100%","68%","f",6,6,"['email', 'phone', 'facebook', 'reviews']","$ 24.00",2011-06-26,2070,1,1,1,1
"6",3767793,0,"12-10-2013","Traveling all over the world inspired me to get my degree in Culinary Arts and inspired me to move to Asheville.  Great food and unique culture is hard to find in one place.  Somehow Asheville has managed to combine culture, art, great food, locally brewed beer, local farms, and local businesses into a charming town nestled into ancient mountains full of waterfalls, hiking, history, and art.

Asheville is one of the few places that has four beautiful seasons and some of the best coffee and restaurants around.  I am excited to open up my home to travelers and I'm looking forward to share all there is to experience in and around Asheville.","within a few hours","100%","73%","f",3,3,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 105.00",2013-10-12,1231,1,1,1,1
"7",5927700,0,"12-02-2015","I've lived in Asheville for about 12 years and love being in the mountains.  My (almost) two year old son is a joyful and vibrant soul who loves music and dance, just like his Mama.  We are a community minded family with a fun, creative flair.","within an hour","100%","100%","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","$ 65.00",2015-02-12,743,1,1,1,1
"8",6698737,0,"19-03-2015","My husband and I have lived in our home for 17 years. We have two friendly male cats, Peanut and Chippie. We love good food, gardening, hiking and motorcycling.

I'm a Kripalu Yoga Teacher and teach full-time from my home studio.

5 Things I Love:
My husband, Greg
My cats, Peanut and Chippie
Long Walks in the woods
Breathing, Stretching and Contemplation
Laughter

Favorite Quote:
I am a part of all that I have met;
Yet all experience is an arch wheretho'
Gleams that untravell'd world whose margin fades
Forever and forever when I move. - Tennyson's Ulysses","within an hour","100%","96%","t",1,1,"['email', 'phone', 'reviews', 'kba']","$ 75.00",2015-03-19,708,1,1,1,1
"9",7966916,111,"24-04-2014","Steve and Jen built this Arts and Crafts style home in 2010. We love West Asheville because of it's easy access to nightlife and shopping. We are antique dealers and build industrial furniture. I was a travel agent and love to travel the world. Our daughters are grown and gone. We have a small dog named Joe and a cat Amorous. They are cool. We travel to many antique shows through the year and buy and sell some unusual items. It's a great way to see the area and meet some characters. Our neighborhood is quiet and safe and our neighbors are our friends.","within an hour","100%","100%","t",1,1,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']","$ 75.00",2014-04-24,1037,1,1,1,1
"10",2254521,0,"30-04-2011","","within a few hours","100%","100%","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 65.00",2011-04-30,2127,1,1,1,1
